loan_acc_num,missed_repayments,loan_amount,collateral_value,interest
LN12319934,321860.86,475766,71176.66,14.4
LN57097279,9332.61,11033,911.89,12.4
LN33644713,1994723.97,1851371,318961.38,11.5
LN57428041,1450702.11,1951941,218711.48,11.3
LN66316298,44665.63,135066,17092.22,8.1
LN93372357,27996.9,22493,686.12,13.0
LN26751495,794097.66,1396243,282400.8,11.0
LN16066216,124127.22,100265,3468.05,13.0
LN47968260,188973.28,381562,80180.38,11.3
LN79219768,344652.44,400482,107282.58,12.8
LN22343049,41297.85,22660,504.31,10.3
LN84613750,476220.9,421349,119026.76,12.0
LN58839019,452790.6,252087,5862.13,10.2
LN26989666,367420.75,479948,82737.37,14.0
LN40169479,528977.04,851143,215732.26,13.5
LN86519125,551414.71,229798,43000.39,13.4
LN42234605,247264.86,249591,34808.65,14.4
LN98204676,88865.14,211616,21637.88,8.5
LN23369344,2129465.42,1884705,178939.47,12.0
LN49718061,404076.58,173917,10337.1,13.0
LN92497651,831193.68,1317790,37403.87,9.8
LN56373735,491446.73,250240,22067.23,11.1
LN83819081,971285.5,1210180,232117.22,8.8
LN73650546,17867.18,12069,2550.79,8.4
LN51078455,140252.72,166279,49307.16,9.2
LN42157140,6737.01,10876,1071.89,9.4
LN64283830,247775.61,175592,48807.26,8.1
LN73777731,9195.15,19828,2480.96,9.1
LN36349693,412837.84,1150490,7269.24,8.7
LN20961216,358641.6,252199,52486.76,14.7
LN70710545,6311.92,6850,1194.87,9.7
LN70812375,204069.35,85676,9021.64,13.3
LN12292770,802278.24,334381,62250.46,13.4
LN46369310,220253.39,565956,8640.14,9.3
LN52303019,284458.88,445581,34600.35,9.9
LN99724320,30443.44,17201,1535.58,10.0
LN21429706,277739.37,245666,10085.51,12.0
LN71627565,3676.14,10131,1233.47,8.4
LN21022336,844246.37,627846,47857.2,14.0
LN84591338,172972.67,348895,103443.07,9.8
LN11288786,181322.76,98842,15701.65,10.4
LN84808750,170035.55,260720,46110.68,12.3
LN29845010,124074.27,196446,3307.24,9.8
LN45288273,787139.57,968701,120726.75,8.9
LN15645545,38708.57,23373,4519.82,9.4
LN27569705,119328.26,270317,66060.15,10.3
LN96607207,160092.42,231448,46134.75,12.9
LN66123806,13494.66,10949,3122.82,12.8
LN72393156,508553.19,308548,4180.75,9.4
LN32048242,892141.35,1801093,479897.26,9.8
LN43863309,292263.08,246950,35350.02,12.5
LN48223267,113271.09,126765,34088.16,13.2
LN37492368,156773.9,264671,14527.6,13.0
LN94837850,126591.3,123536,33803.37,14.8
LN17200330,999787.94,731632,70377.87,14.2
LN66354895,58801.99,24238,13.5,13.5
LN22699075,162236.04,213691,30138.12,13.9
LN72069198,60251.48,130656,21973.52,9.2
LN58380470,225074.14,438105,60705.18,10.1
LN59145794,59933.01,98507,22957.39,11.6
LN61821798,310433.53,214922,64129.92,14.9
LN32703043,337279.57,175046,22499.24,10.9
LN10057836,69107.36,38782,9926.63,10.1
LN66964844,129464.01,202192,7324.85,13.8
LN41897416,710461.75,395608,55334.5,10.2
LN31729222,184326.07,288004,82563.48,13.8
LN89059311,23589.78,62610,17244.97,9.0
LN30434002,69687.93,100598,8604.57,12.9
LN14634668,18633.46,22692,2167.32,12.2
LN86664829,212326.92,346190,46574.5,11.7
LN76154047,319350.27,279882,51738.31,12.1
LN45845262,1480952.11,1335541,250652.05,11.8
LN39576568,300475.7,270832,61007.11,11.8
LN35267084,48150.08,145636,32665.05,8.1
LN13749270,110637.63,278710,48368.59,8.1
LN57617211,406344.15,156735,12948.9,14.4
LN33852362,192316.91,255120,55896.68,8.3
LN20138586,273744.4,130599,32234.14,11.8
LN32483380,1312579.92,488185,72514.68,14.9
LN94188190,429043.36,710730,186529.94,13.2
LN73043422,508819.72,531494,107764.39,14.0
LN25658734,104124.75,156409,4102.08,12.5
LN48912718,374706.9,243580,22603.1,8.8
LN17047788,5493.92,5947,1275.55,13.2
LN21815654,309813.83,137850,36838.19,12.6
LN16275168,77948.42,98112,20556.94,8.7
LN62183666,3778723.6,1962158,58374.79,10.9
LN20483902,143650.55,123517,33297.96,12.3
LN66649023,43359.67,76747,6412.94,10.9
LN84636062,36621.44,71227,19200.0,11.6
LN85550415,530437.51,1328806,151276.61,9.5
LN51967537,10612.09,11802,2695.94,9.6
LN83745919,6657.66,15628,2135.77,8.4
LN57661009,357213.92,373080,71378.05,14.0
LN25048381,541809.26,1310455,3180.78,8.4
LN12534251,2125.64,4447,407.12,10.2
LN96302719,6642.14,11589,637.26,12.4
LN99087300,512968.68,537811,138398.23,10.3
LN24236448,198565.08,214600,16441.68,13.6
LN60837401,36763.82,82962,24651.05,10.3
LN31108460,8775.03,6761,1188.93,13.3
LN98321082,2471.49,4135,854.84,10.7
LN40576383,12079.89,23236,386.26,11.6
LN69276882,185069.33,281116,63727.89,14.1
LN73518958,233925.63,450030,43899.54,10.2
LN12067789,25651.19,21148,4689.92,12.7
LN33301150,1656.13,2805,343.01,10.2
LN57254496,215308.24,333286,93427.07,13.9
LN61691697,402431.76,179085,12210.9,12.6
LN36481933,80211.66,141573,14787.79,8.9
LN88389508,7229.76,13468,979.85,8.3
LN25674000,83785.2,128315,4430.46,12.3
LN24600963,6079.37,9378,1944.02,13.6
LN11879142,4240.67,4106,1051.3,10.6
LN39365389,218774.59,125636,138.72,9.9
LN50952997,571359.52,1047554,8136.16,12.2
LN95500511,84791.92,181717,10268.46,9.3
LN58819324,720719.22,1103841,235600.46,10.1
LN90799963,204246.38,298949,20077.81,10.5
LN74088443,7278.14,5784,51.32,12.9
LN50152302,144279.72,97173,10480.85,8.5
LN21678874,412809.22,193502,28585.88,12.0
LN75546926,19956.61,21013,5275.77,13.8
LN26187081,68979.02,47560,1066.89,8.3
LN55110952,32315.3,21400,3476.72,8.6
LN43533774,224072.66,309374,77202.25,8.0
LN71013613,320816.97,242433,17497.5,13.8
LN92916429,59489.47,53996,3113.22,11.7
LN19930944,171781.89,253792,44048.92,14.4
LN53339354,1194294.7,651614,125655.17,10.4
LN60252062,34989.27,41310,9590.61,9.2
LN73673477,436837.29,224566,31156.65,11.0
LN45686918,55687.53,24917,5818.56,12.5
LN35801444,15574.9,21946,336.41,14.8
LN24272155,36925.28,31063,7128.82,12.5
LN63590800,136351.76,253713,25798.6,8.5
LN51746081,17684.63,19963,5721.2,13.0
LN51775256,2276.51,3770,742.92,8.7
LN94969148,8396.58,10611,2518.48,8.5
LN92569208,840077.66,1217130,323279.55,10.6
LN83918073,23329.43,33895,7817.07,10.5
LN20847992,17916.21,10295,2171.93,9.8
LN39091313,691242.96,449458,14796.42,8.8
LN83766700,36270.4,22394,644.43,9.2
LN25720663,618681.74,491811,123456.26,13.2
LN69900883,325113.33,216473,28025.02,8.6
LN66228582,147468.45,241705,51236.1,13.3
LN87793135,389618.3,795927,213955.3,11.2
LN96345172,144390.45,157981,23884.3,9.9
LN25459197,241075.1,104589,12724.28,12.9
LN76323873,29479.2,54268,4742.98,12.1
LN12201023,236946.26,167912,33975.78,8.1
LN88770331,38145.25,73634,20487.04,8.2
LN71539284,303635.85,276300,73494.64,11.7
LN28929525,16952.96,8456,1566.44,11.2
LN10257808,187924.11,290895,13961.89,10.0
LN66584511,195071.73,458607,72229.54,10.0
LN54584433,239840.62,495873,113098.76,9.6
LN72094265,1190470.55,1658734,389598.08,13.3
LN92849473,4093.14,4993,721.79,11.8
LN48598930,799233.11,361870,21561.89,12.4
LN67923817,40884.16,63655,18200.45,13.8
LN34936504,212509.04,473981,81124.03,9.0
LN83041796,28261.16,24163,7118.46,12.3
LN31573345,7248.13,15616,1290.23,10.5
LN76454062,27503.22,19367,2674.38,8.1
LN20545587,18839.4,24338,4094.39,11.6
LN65408393,193236.6,422668,120748.09,10.6
LN44602605,237246.31,359071,5330.68,10.2
LN20717774,457302.65,214369,64138.13,12.0
LN45608808,31699.0,24218,6745.95,13.6
LN59422002,4946381.84,1908775,440091.2,14.4
LN24799418,184473.43,226733,43169.73,12.2
LN88755693,170656.85,191089,2410.1,13.2
LN43882326,7305.13,5007,950.84,14.7
LN24960346,5043.34,13139,3373.96,8.9
LN54873156,54079.56,163664,20082.82,8.1
LN45696038,18029.91,17050,545.38,11.2
LN63750134,8926.87,14913,1186.0,12.9
LN14097808,3668.67,5174,354.64,12.6
LN94769485,38433.84,24873,2483.27,8.8
LN91117291,6190.98,9467,1689.47,13.7
LN39592730,290816.64,527556,43982.32,8.7
LN30043644,300805.42,476700,62646.67,9.8
LN75882682,160503.84,202209,30501.19,14.4
LN48745797,217743.97,281797,22349.37,14.1
LN76883283,2073482.42,1620814,49491.5,13.4
LN73241172,44183.72,129772,34096.44,8.3
LN36926493,60646.34,69637,7070.83,12.9
LN34755820,27552.87,12078,3482.29,12.7
LN40263602,666567.09,1081900,109658.09,9.6
LN15684723,155408.34,136117,17217.63,12.1
LN53588027,117227.68,71031,21022.48,9.4
LN93225795,65854.29,75266,8425.85,9.5
LN58798521,83088.5,156924,38494.73,11.9
LN62305429,9911.61,24674,1972.26,9.4
LN33146588,76607.43,196520,44865.1,9.3
LN92701079,61636.66,65894,489.52,13.7
LN54953742,25669.53,38737,2641.54,14.1
LN35779471,76705.0,90631,16417.21,12.6
LN54626661,17780.97,42432,8225.88,9.8
LN20365531,368430.87,271707,76168.9,14.1
LN92546713,20819.3,11368,641.72,10.3
LN55550541,36924.92,23888,61.49,8.8
LN81488982,164433.88,87842,20931.89,10.6
LN16229291,69155.02,169177,8555.91,8.3
LN37260896,59190.35,28422,2822.56,11.7
LN34756546,9327.45,19878,2612.84,9.2
LN14536714,5508.06,9845,1978.22,12.1
LN86311166,9378.27,4423,36.86,11.7
LN57491483,1136583.42,1034728,269821.28,11.7
LN12307110,43506.62,127768,34666.08,8.3
LN37335080,853690.53,389881,17723.71,12.3
LN34228467,836554.02,1413770,377910.46,13.0
LN26583470,487757.7,1074456,299527.57,9.1
LN64734139,16298.94,17585,3252.51,13.5
LN23329934,136684.48,282430,35552.16,9.6
LN63405159,1790524.42,948081,16661.08,10.7
LN96697708,146640.73,224357,3666.77,10.1
LN30640981,73252.04,151008,15360.73,11.1
LN46575029,11883.95,19574,3576.09,13.1
LN79316100,2184522.11,1707628,190712.67,13.4
LN43570743,17947.97,19235,3678.25,10.0
LN19353613,22719.05,9701,69.61,13.0
LN37655163,181158.3,220058,24426.39,9.0
LN21476600,43870.15,21233,4940.34,11.6
LN43987973,301848.0,485551,100159.53,13.5
LN88058050,138502.51,297109,14874.16,9.3
LN72109904,3818.12,10242,2835.44,8.6
LN31497842,456123.56,435838,83012.98,11.2
LN27722114,29778.47,24356,5519.94,12.8
LN68013958,24099.14,12534,326.36,10.8
LN71830125,168803.59,261271,4968.47,10.0
LN13953674,395812.46,984324,110390.08,8.2
LN58301297,24491.14,68678,166.85,8.6
LN76967693,367522.58,280044,22147.36,13.7
LN64893636,82741.24,243509,31205.49,8.3
LN20703839,40296.24,65887,9664.38,9.5
LN87749880,1065251.8,1855388,457254.83,12.7
LN38711804,9195.52,12107,3360.59,8.2
LN42372253,215014.13,428450,28520.38,8.0
LN31746139,10475.27,17906,3515.1,12.7
LN24846210,554180.28,701808,63360.36,11.9
LN55967896,153836.8,422498,101384.49,8.8
LN46267176,190157.12,216848,20403.63,13.0
LN28683519,323511.06,250634,20271.01,13.5
LN79525972,58290.21,24416,6659.13,13.3
LN66233275,34245.18,28790,4385.55,12.5
LN62942595,346834.03,1022606,5060.8,8.3
LN87585828,92400.54,110431,27124.82,15.0
LN18925961,205247.01,321420,44157.82,9.9
LN80874723,252462.41,293302,25793.32,12.8
LN20888201,2652610.37,1063192,101737.13,13.9
LN88623128,968747.72,1864895,243747.27,10.2
LN29733504,152495.62,283251,27154.0,10.5
LN89566786,15328.98,21491,4086.84,13.1
LN93701454,146759.9,209068,19620.97,14.8
LN73715078,224712.76,265945,29564.17,12.6
LN93667988,101331.73,99666,23811.65,14.7
LN54800134,197230.79,374984,93860.15,10.3
LN12709339,165984.03,173888,22533.19,10.3
LN75225616,207046.71,371920,1736.67,10.8
LN85090214,37920.98,14891,279.75,14.1
LN48495981,743935.19,1208779,45449.39,13.4
LN71037056,10020.43,4779,504.74,11.6
LN83474504,16470.78,21683,4279.55,11.4
LN11604315,8841.83,16458,61.62,10.3
LN42954253,5773.65,12962,3666.1,8.7
LN13788860,337094.2,254737,4283.2,13.8
LN32603449,4029.07,7934,898.97,11.1
LN47055301,7464.29,20548,2038.76,8.6
LN65573993,135779.68,107813,3781.03,13.2
LN41136043,6871.11,5176,1421.92,13.5
LN37828552,2916.9,3987,578.64,12.8
LN23988330,395738.47,282685,3754.64,14.5
LN75681032,581049.22,566481,151362.44,11.0
LN15264595,114089.56,139955,3180.74,14.7
LN90286766,1985754.18,1539214,186249.13,13.5
LN88152597,8929.12,18994,4560.95,9.2
LN69536728,20817.32,54455,7335.27,9.1
LN26050340,18562.99,7848,952.25,13.1
LN46522435,614306.13,349258,74806.26,10.0
LN20283271,3947569.08,1991771,66974.26,11.2
LN93731499,129460.51,208775,3012.37,11.8
LN79841079,148212.35,287177,11138.06,8.2
LN20835658,14387.22,23319,530.22,9.5
LN27523964,5529.67,16211,647.4,8.1
LN71729085,15723.6,17016,3783.13,9.9
LN86447351,209139.09,251047,10550.86,9.1
LN71793671,23798.36,30160,3837.55,8.6
LN72086565,75911.43,93159,7062.82,12.2
LN61989318,320006.77,349044,6652.97,13.5
LN28664902,3488252.21,1539923,159542.54,12.7
LN80201786,14171.08,9833,2234.12,14.7
LN26059803,266209.26,251795,67491.82,11.3
LN90325457,1138284.2,1367407,284238.71,9.1
LN80486632,182153.07,188527,40308.75,14.1
LN75872754,9167.46,13497,3139.63,12.5
LN50419085,1997.42,3451,943.11,8.3
LN71856042,384011.89,145935,12098.2,14.6
LN26852125,25036.15,17482,4797.63,14.7
LN82031279,133739.15,164109,928.29,14.7
LN99410639,352295.97,361728,9324.4,14.2
LN83053752,1396057.45,1600068,210760.77,9.5
LN37610724,2216.64,2293,135.43,9.6
LN57996286,804859.5,1276029,49946.63,9.8
LN92055200,2739505.19,1450619,200848.17,10.7
LN30464501,322741.47,296522,64187.36,11.6
LN40315076,320866.94,318600,91437.33,14.6
LN21893385,53776.52,121189,9797.72,8.9
LN81930342,10524.32,21844,304.97,10.9
LN32455934,21791.92,42233,5277.75,11.6
LN24490826,102555.18,104013,9597.84,10.6
LN94080426,10769.87,11096,2950.39,10.3
LN32002107,2355.03,3315,721.15,12.3
LN91194286,5314.95,9413,116.35,8.6
LN84923921,275846.83,143146,25189.51,10.9
LN77621636,3974548.94,1593072,341566.52,13.9
LN95961154,94761.95,184920,50764.03,11.6
LN22844992,116857.23,187779,21859.64,13.5
LN83471162,1519.66,4034,268.62,8.1
LN36859774,148681.05,278135,3449.05,12.0
LN44285400,44823.09,77629,6781.12,11.1
LN82500203,5073.13,9290,2737.8,10.3
LN73433275,667672.45,299712,10454.24,12.5
LN13657237,22296.36,15477,2351.59,8.2
LN18225057,400466.38,248490,46607.28,9.2
LN25511334,101895.87,215738,47402.32,9.4
LN38802791,405407.43,243226,53777.83,9.5
LN20187834,89739.98,189354,20779.98,10.9
LN64705648,531558.65,236576,12727.45,12.6
LN21684802,472444.3,212051,13064.97,12.5
LN33712273,12435.59,19166,2087.69,12.1
LN10800163,4713.03,12954,322.15,8.5
LN79998665,173978.37,201533,45163.28,9.4
LN43443272,112865.07,135370,25407.45,9.1
LN65995219,332458.83,435532,1681.61,8.4
LN86594321,8915.57,17057,853.73,11.6
LN38326469,62710.47,147173,42132.72,8.6
LN61217111,277965.81,430370,5145.81,13.9
LN49902315,783192.54,1660932,82409.39,9.4
LN66308374,518752.57,325630,50366.92,9.1
LN34404917,11313.35,16440,662.13,14.4
LN94851392,61212.44,76994,2103.77,8.7
LN67440774,25060.1,9599,341.32,14.4
LN47961742,278043.35,279409,42289.45,10.7
LN63194913,12386.88,20211,4107.22,13.2
LN54031213,154669.88,171621,4332.02,13.3
LN31007411,1511350.78,887419,53622.11,9.7
LN54379217,198924.75,134031,8924.59,8.5
LN26712423,175159.21,209207,39831.31,12.5
LN62461582,130658.55,142383,41216.08,13.5
LN24138646,12480.53,11984,2859.57,11.0
LN72838835,87401.31,227252,39857.13,9.2
LN89431523,1683121.04,1974573,250690.17,9.3
LN26136665,495889.91,890436,244029.46,12.4
LN50589404,859003.76,1689250,383273.83,8.1
LN34101283,222384.25,182918,36916.47,12.8
LN63452474,557411.96,439322,90813.27,13.3
LN36523456,157652.4,296220,67490.5,10.4
LN78564332,26592.86,13446,2163.74,11.1
LN27384632,1574481.85,1617294,61457.83,14.2
LN31217686,214726.83,348678,38013.87,13.4
LN48556063,402564.74,958669,145482.71,9.9
LN80973058,5117.89,4806,31.86,11.0
LN53058779,162251.62,181570,39240.31,9.7
LN58997489,30296.62,60830,6461.04,11.3
LN14768296,248456.82,310429,86747.07,14.5
LN25515835,13435.35,24037,762.44,8.7
LN24497541,175134.3,200530,14689.13,9.5
LN73277383,415416.92,351090,26753.38,12.5
LN83979926,12142.22,12065,167.96,14.4
LN64764102,8747.68,6467,738.62,13.8
LN75050573,426303.03,1095907,122763.13,9.3
LN77672995,23697.79,14106,359.81,9.5
LN54259918,848186.41,1601323,5220.12,8.4
LN10653149,318253.61,234677,8780.13,14.1
LN79285560,2903.5,4241,114.73,9.9
LN69296522,13454.62,19607,1931.45,14.4
LN68906981,32104.96,31702,4116.1,14.6
LN53912389,1099555.16,1806290,275375.66,9.5
LN26341051,676301.16,306194,33658.65,12.4
LN22527165,275982.43,363695,97218.56,13.9
LN48539484,282334.2,452684,48960.78,9.7
LN67511949,244244.8,438802,108976.93,10.8
LN67110038,212518.67,148675,27613.1,8.2
LN10927587,58604.5,98385,25349.54,11.4
LN71774918,5419.78,6896,1032.99,13.9
LN42967788,1352283.59,1549897,139835.37,9.5
LN55581607,277177.41,142450,16116.74,11.0
LN55899421,4112.92,11893,65.24,8.1
LN84312618,381723.77,1158762,68767.2,8.1
LN55602637,4670.1,4413,937.46,14.7
LN53240394,111105.06,133254,4380.26,9.1
LN71363253,20480.44,19663,3497.89,14.9
LN49669480,36749.97,47771,8458.61,14.0
LN58860969,7614.75,11859,2816.87,11.9
LN83140301,839823.94,1031791,83564.46,14.7
LN63789897,535474.31,255548,53216.08,11.8
LN52863678,152076.34,295905,60087.31,10.1
LN37724707,1051616.27,1025400,45234.26,11.0
LN25643261,507298.57,201710,13733.21,14.0
LN47368322,706611.68,276741,25547.03,14.2
LN44173201,21263.56,19559,3153.59,11.5
LN72608294,129685.26,53558,4637.99,13.5
LN56236703,140986.42,143058,19429.46,10.6
LN55082727,168658.72,299513,70617.66,12.5
LN67179346,6024.41,17434,294.1,8.2
LN82242846,2616396.61,1195083,261369.82,12.3
LN77741164,125980.03,161482,20218.13,14.2
LN91914966,359654.79,482734,60838.94,13.7
LN19635157,512989.29,1318854,21791.04,9.3
LN87625143,11338.79,32408,8832.71,8.4
LN99276827,13040.06,15222,3429.6,12.6
LN77988173,15290.85,15129,3243.69,14.5
LN32727271,250929.29,319063,29877.68,14.3
LN16684864,92468.23,91684,4262.55,14.6
LN37465353,3988173.46,1870207,517356.78,12.0
LN56433114,230102.38,260530,63347.68,9.6
LN63127927,699302.2,291450,9597.6,13.4
LN67852850,356732.35,954197,167899.36,9.0
LN85742067,312749.26,883635,161882.15,8.6
LN47569941,1761337.32,1145450,167175.84,8.8
LN85574875,202342.44,158030,804.96,13.4
LN52367060,721904.13,1283157,340798.28,12.5
LN58999039,61668.93,137230,34785.23,9.0
LN84842878,5826.78,9002,307.69,11.9
LN25175481,166061.2,229002,21072.56,13.4
LN37011506,479337.82,1209194,99665.8,8.1
LN77046124,110121.0,44064,9550.09,13.9
LN62035666,141463.88,429065,104052.93,8.1
LN20568369,66038.4,178602,31618.0,8.9
LN85446469,318198.7,136939,37080.57,13.0
LN97660940,302806.94,483737,11658.35,11.9
LN85578081,1029787.43,1918553,372684.74,8.5
LN33417954,221275.2,362825,104138.79,13.3
LN21279087,338130.47,164287,42474.16,11.6
LN80441560,254439.67,183146,36850.35,14.4
LN34205133,14705.94,23673,2805.99,11.7
LN36046534,154619.33,239290,43502.79,10.0
LN14288501,37714.93,63428,18310.22,13.0
LN70758230,11282.13,18885,2757.59,11.3
LN27586304,2930.1,3723,617.21,8.1
LN64338262,1004155.7,856575,134182.43,12.4
LN64098100,104589.21,109490,3448.46,10.3
LN80802883,5840.0,4170,202.08,14.1
LN76527713,155539.07,329534,74144.07,9.4
LN12279180,11442.3,21238,2569.14,8.4
LN86837955,174660.21,181049,53866.65,10.4
LN71524413,178688.99,307954,8819.39,9.1
LN23230597,138693.89,164433,29239.85,9.2
LN72548492,225543.13,237518,36627.12,13.9
LN85209323,1588218.34,1252027,242982.85,13.3
LN52995749,207545.77,270997,71379.71,14.0
LN39110816,15793.18,21146,223.7,13.6
LN97279589,246504.02,218017,39628.0,12.0
LN70194774,9532.88,14804,3628.17,9.8
LN87991128,1036385.7,961821,248878.66,11.5
LN86780145,806573.13,609716,126055.28,13.8
LN84057170,1004433.05,1058438,299563.83,13.9
LN11837544,118081.54,143623,6030.53,14.8
LN33000536,1543992.77,1446996,194423.47,11.4
LN79277418,254794.02,487280,32761.46,8.3
LN29589275,111651.72,202317,19988.74,8.7
LN79402936,10042.78,13427,1103.74,8.1
LN99550212,144177.06,258018,16869.26,8.8
LN98610444,261923.09,430026,33218.43,9.5
LN87976074,483013.83,487744,73684.42,14.4
LN55879951,356260.83,254477,17245.9,14.5
LN79960497,21877.49,22272,4632.82,14.2
LN59283489,53882.8,72231,9233.37,8.2
LN98123029,280481.71,248091,400.95,12.0
LN79300544,1615607.75,678862,108992.62,13.3
LN16359655,90256.36,45020,4495.68,11.3
LN89099841,8772.19,12307,961.9,13.0
LN11245978,268770.18,233371,40076.39,12.2
