loan_acc_num,missed_repayments,loan_amount,collateral_value,interest,risk_score,risk_level
LN49828256,68667.36,190904,57140.7,8.7,137342,HIGH
LN26497552,327551.97,322503,56450.31,10.9,655113,HIGH
LN91547405,279029.49,408513,37412.83,10.5,558074,HIGH
LN27485173,398544.24,1110626,293210.27,8.7,797096,HIGH
LN32262728,20031.06,23064,3224.91,12.8,40075.6,HIGH
LN60473568,21852.74,22240,2150.38,10.5,43719.6,HIGH
LN29913140,45760.57,43554,10602.54,11.2,91529.7,HIGH
LN30758158,103141.53,161011,33497.83,13.8,206294,HIGH
LN71220106,594809.22,260326,76649.57,12.8,1.18963e+06,HIGH
LN64910414,3088.29,4479,156.4,10.0,6209.64,HIGH
LN58650854,479894.47,304737,22201.73,9.0,959806,HIGH
LN14458977,354077.66,165958,34424.22,12.0,708165,HIGH
LN55395341,9061.72,9107,1417.5,14.2,18135.5,HIGH
LN50746171,251844.64,100100,1230.93,14.0,503776,HIGH
LN97767142,20167.88,19845,4339.93,14.6,40345.9,HIGH
LN62634741,140354.77,100701,21901.03,8.0,280717,HIGH
LN98931569,29827.45,21013,4253.37,8.1,59663,HIGH
LN23713728,108096.27,157700,32806.24,12.8,216203,HIGH
LN42836490,61142.29,131905,21235.44,10.7,122296,HIGH
LN34443590,146121.3,242669,72396.26,9.4,292250,HIGH
LN92392706,211990.23,250876,7872.93,12.6,424018,HIGH
LN57118044,252454.55,489412,47953.86,8.2,504922,HIGH
LN89075174,7442.66,16837,680.67,8.7,14913.1,HIGH
LN72606277,989119.7,1330800,243109.98,11.3,1.97825e+06,HIGH
LN40932866,523425.08,227176,38559.66,12.9,1.04686e+06,HIGH
LN12287508,1181137.08,584812,166582.47,11.4,2.36228e+06,HIGH
LN71086052,27534.12,69998,13824.8,8.0,55077.1,HIGH
LN52001176,28460.43,34121,5943.77,12.4,56931.9,HIGH
LN85137397,1311018.56,813767,196862.57,9.2,2.62204e+06,HIGH
LN87560768,1368457.36,1390291,230656.14,10.6,2.73693e+06,HIGH
LN92567806,94297.01,68878,3683.28,14.2,188620,HIGH
LN14467768,262776.09,491860,107676.7,12.0,525563,HIGH
LN44409621,27545.43,17173,3821.12,9.1,55099,HIGH
LN45440516,195898.91,200948,6847.99,10.5,391831,HIGH
LN78616573,1330575.72,1927941,212339.49,10.6,2.66116e+06,HIGH
LN55080626,249959.54,449075,38967.62,10.8,499935,HIGH
LN39133321,19729.63,20715,526.16,10.2,39502.5,HIGH
LN80654900,2028527.85,1882742,242230.2,11.5,4.05707e+06,HIGH
LN27717189,11258.4,21063,4268.89,10.3,22526.1,HIGH
LN38613868,33583.87,84259,15892.77,8.1,67175.4,HIGH
LN31871320,21431.91,45420,8841.59,10.8,42872.5,HIGH
LN18256032,8278.51,9059,2410.95,13.2,16566.4,HIGH
LN74298026,652950.16,1242300,357185.05,10.3,1.30591e+06,HIGH
LN50929283,64689.3,47212,8652.47,14.2,129391,HIGH
LN37698392,341250.64,977837,90578.88,8.5,682515,HIGH
LN26313841,92913.27,179878,40207.66,8.2,185835,HIGH
LN38633146,147304.43,277801,70194.35,8.4,294616,HIGH
LN52064379,64996.12,71362,7456.08,13.4,130008,HIGH
LN36817731,1210877.2,1580227,143281.32,11.6,2.42177e+06,HIGH
LN19848962,7319.01,4321,1071.07,9.4,14646.7,HIGH
LN95409914,1261301.18,1953946,75588.05,13.9,2.52263e+06,HIGH
LN88226696,101949.46,120804,5256.75,9.2,203926,HIGH
LN94210069,582432.26,254909,60666.51,12.8,1.16487e+06,HIGH
LN63001638,2592.23,5573,1430.78,8.7,5192.25,HIGH
LN94741705,8819.02,10034,979.16,12.8,17654.6,HIGH
LN28845914,10795.72,10231,805.04,11.1,21608.3,HIGH
LN24182518,450093.95,450708,28840.98,14.5,900209,HIGH
LN46433291,2058196.53,1891939,279660.22,11.6,4.1164e+06,HIGH
LN18282593,250525.44,573744,89769.19,8.8,501061,HIGH
LN57338915,19939.04,47625,12348.79,9.8,39886.8,HIGH
LN41617041,63083.28,70495,1889.72,13.2,126210,HIGH
LN71342892,2836057.52,1964594,237005.55,14.9,5.67213e+06,HIGH
LN56819034,331654.45,528421,143369.77,13.6,663318,HIGH
LN49587447,54655.85,27744,2635.17,11.1,109326,HIGH
LN66691927,714335.68,976859,252801.06,13.5,1.42868e+06,HIGH
LN84454424,118579.27,212666,2740.55,12.4,237242,HIGH
LN73387182,75618.69,172859,50898.17,8.8,151244,HIGH
LN32422403,7763.55,11512,370.38,14.1,15564.1,HIGH
LN49174005,213727.37,404248,82637.06,11.9,427465,HIGH
LN74665679,6452.49,6483,774.17,14.1,12919.4,HIGH
LN71515070,6368.05,8490,540.6,11.1,12757.3,HIGH
LN86327354,17805.56,19954,2310.46,9.6,35623.4,HIGH
LN76665881,13513.21,20643,1159.74,10.0,27048.8,HIGH
LN65641919,39124.12,24730,2652.02,9.0,78261.8,HIGH
LN66006262,659391.53,270485,25507.98,13.6,1.3188e+06,HIGH
LN32329203,8445.28,5635,611.52,8.4,16903.4,HIGH
LN87532029,455054.33,1131728,277922.18,8.2,910116,HIGH
LN85498274,544951.91,1248558,351169.15,8.8,1.08991e+06,HIGH
LN14412265,33091.37,98450,1802.41,8.2,66240.7,HIGH
LN95729066,152708.02,127801,28460.47,12.6,305427,HIGH
LN24958103,45821.15,34216,6832.34,13.9,91654,HIGH
LN30279172,18233.47,22855,3495.71,11.9,36478.5,HIGH
LN44448361,622627.92,566749,71193.44,11.7,1.24527e+06,HIGH
LN63569129,659022.19,1171508,221029.21,10.9,1.31805e+06,HIGH
LN27662629,10096.45,16338,773.88,11.6,20218.9,HIGH
LN42867807,10001.76,15558,1981.7,9.8,20014.8,HIGH
LN33242031,19504.48,14365,3400.36,14.0,39019.2,HIGH
LN78642913,37050.77,75333,2711.7,11.2,74133.4,HIGH
LN59245963,634277.82,983153,281080.85,12.2,1.26856e+06,HIGH
LN45958468,549974.19,819266,69552.4,12.6,1.09997e+06,HIGH
LN64517604,10669.86,7426,62.95,8.1,21460,HIGH
LN99686491,51198.39,67246,15285.11,11.5,102406,HIGH
LN32927541,21657.78,40369,320.89,10.4,43445,HIGH
LN91450560,1401662.02,1502951,285530.21,13.7,2.80334e+06,HIGH
LN99976049,12030.55,15299,685.97,11.7,24088.2,HIGH
LN33070240,712447.13,328196,16911.0,12.2,1.42492e+06,HIGH
LN12319934,321860.86,475766,71176.66,14.4,643734,HIGH
LN57097279,9332.61,11033,911.89,12.4,18682.3,HIGH
LN33644713,1994723.97,1851371,318961.38,11.5,3.98946e+06,HIGH
LN57428041,1450702.11,1951941,218711.48,11.3,2.90142e+06,HIGH
LN66316298,44665.63,135066,17092.22,8.1,89342,HIGH
LN93372357,27996.9,22493,686.12,13.0,56031.3,HIGH
LN26751495,794097.66,1396243,282400.8,11.0,1.5882e+06,HIGH
LN16066216,124127.22,100265,3468.05,13.0,248289,HIGH
LN47968260,188973.28,381562,80180.38,11.3,377956,HIGH
LN79219768,344652.44,400482,107282.58,12.8,689314,HIGH
LN22343049,41297.85,22660,504.31,10.3,82644.1,HIGH
LN84613750,476220.9,421349,119026.76,12.0,952450,HIGH
LN58839019,452790.6,252087,5862.13,10.2,905628,HIGH
LN26989666,367420.75,479948,82737.37,14.0,734853,HIGH
LN40169479,528977.04,851143,215732.26,13.5,1.05796e+06,HIGH
LN86519125,551414.71,229798,43000.39,13.4,1.10284e+06,HIGH
LN42234605,247264.86,249591,34808.65,14.4,494542,HIGH
LN98204676,88865.14,211616,21637.88,8.5,177744,HIGH
LN23369344,2129465.42,1884705,178939.47,12.0,4.25895e+06,HIGH
LN49718061,404076.58,173917,10337.1,13.0,808175,HIGH
LN92497651,831193.68,1317790,37403.87,9.8,1.66243e+06,HIGH
LN56373735,491446.73,250240,22067.23,11.1,982909,HIGH
LN83819081,971285.5,1210180,232117.22,8.8,1.94258e+06,HIGH
LN73650546,17867.18,12069,2550.79,8.4,35742.9,HIGH
LN51078455,140252.72,166279,49307.16,9.2,280512,HIGH
LN42157140,6737.01,10876,1071.89,9.4,13488.8,HIGH
LN64283830,247775.61,175592,48807.26,8.1,495558,HIGH
LN73777731,9195.15,19828,2480.96,9.1,18402.5,HIGH
LN36349693,412837.84,1150490,7269.24,8.7,825837,HIGH
LN20961216,358641.6,252199,52486.76,14.7,717294,HIGH
LN70710545,6311.92,6850,1194.87,9.7,12632.6,HIGH
LN70812375,204069.35,85676,9021.64,13.3,408154,HIGH
LN12292770,802278.24,334381,62250.46,13.4,1.60457e+06,HIGH
LN46369310,220253.39,565956,8640.14,9.3,440576,HIGH
LN52303019,284458.88,445581,34600.35,9.9,568934,HIGH
LN99724320,30443.44,17201,1535.58,10.0,60902.2,HIGH
LN21429706,277739.37,245666,10085.51,12.0,555508,HIGH
LN71627565,3676.14,10131,1233.47,8.4,7364.41,HIGH
LN21022336,844246.37,627846,47857.2,14.0,1.68851e+06,HIGH
LN84591338,172972.67,348895,103443.07,9.8,345952,HIGH
LN11288786,181322.76,98842,15701.65,10.4,362655,HIGH
LN84808750,170035.55,260720,46110.68,12.3,340082,HIGH
LN29845010,124074.27,196446,3307.24,9.8,248212,HIGH
LN45288273,787139.57,968701,120726.75,8.9,1.57429e+06,HIGH
LN15645545,38708.57,23373,4519.82,9.4,77425.9,HIGH
LN27569705,119328.26,270317,66060.15,10.3,238665,HIGH
LN96607207,160092.42,231448,46134.75,12.9,320195,HIGH
LN66123806,13494.66,10949,3122.82,12.8,26997.9,HIGH
LN72393156,508553.19,308548,4180.75,9.4,1.01718e+06,HIGH
LN32048242,892141.35,1801093,479897.26,9.8,1.78429e+06,HIGH
LN43863309,292263.08,246950,35350.02,12.5,584539,HIGH
LN48223267,113271.09,126765,34088.16,13.2,226552,HIGH
LN37492368,156773.9,264671,14527.6,13.0,313571,HIGH
LN94837850,126591.3,123536,33803.37,14.8,253193,HIGH
LN17200330,999787.94,731632,70377.87,14.2,1.99959e+06,HIGH
LN66354895,58801.99,24238,13.5,13.5,119404,HIGH
LN22699075,162236.04,213691,30138.12,13.9,324486,HIGH
LN72069198,60251.48,130656,21973.52,9.2,120513,HIGH
LN58380470,225074.14,438105,60705.18,10.1,450160,HIGH
LN59145794,59933.01,98507,22957.39,11.6,119876,HIGH
LN61821798,310433.53,214922,64129.92,14.9,620877,HIGH
LN32703043,337279.57,175046,22499.24,10.9,674571,HIGH
LN10057836,69107.36,38782,9926.63,10.1,138223,HIGH
LN66964844,129464.01,202192,7324.85,13.8,258963,HIGH
LN41897416,710461.75,395608,55334.5,10.2,1.42093e+06,HIGH
LN31729222,184326.07,288004,82563.48,13.8,368662,HIGH
LN89059311,23589.78,62610,17244.97,9.0,47186.1,HIGH
LN30434002,69687.93,100598,8604.57,12.9,139392,HIGH
LN14634668,18633.46,22692,2167.32,12.2,37282.6,HIGH
LN86664829,212326.92,346190,46574.5,11.7,424665,HIGH
LN76154047,319350.27,279882,51738.31,12.1,638711,HIGH
LN45845262,1480952.11,1335541,250652.05,11.8,2.96192e+06,HIGH
LN39576568,300475.7,270832,61007.11,11.8,600960,HIGH
LN35267084,48150.08,145636,32665.05,8.1,96308.5,HIGH
LN13749270,110637.63,278710,48368.59,8.1,221284,HIGH
LN57617211,406344.15,156735,12948.9,14.4,812707,HIGH
LN33852362,192316.91,255120,55896.68,8.3,384641,HIGH
LN20138586,273744.4,130599,32234.14,11.8,547498,HIGH
LN32483380,1312579.92,488185,72514.68,14.9,2.62517e+06,HIGH
LN94188190,429043.36,710730,186529.94,13.2,858096,HIGH
LN73043422,508819.72,531494,107764.39,14.0,1.01765e+06,HIGH
LN25658734,104124.75,156409,4102.08,12.5,208292,HIGH
LN48912718,374706.9,243580,22603.1,8.8,749427,HIGH
LN17047788,5493.92,5947,1275.55,13.2,10997.3,HIGH
LN21815654,309813.83,137850,36838.19,12.6,619636,HIGH
LN16275168,77948.42,98112,20556.94,8.7,155905,HIGH
LN62183666,3778723.6,1962158,58374.79,10.9,7.55749e+06,HIGH
LN20483902,143650.55,123517,33297.96,12.3,287310,HIGH
LN66649023,43359.67,76747,6412.94,10.9,86735.4,HIGH
LN84636062,36621.44,71227,19200.0,11.6,73251.5,HIGH
LN85550415,530437.51,1328806,151276.61,9.5,1.06089e+06,HIGH
LN51967537,10612.09,11802,2695.94,9.6,21233.2,HIGH
LN83745919,6657.66,15628,2135.77,8.4,13325.5,HIGH
LN57661009,357213.92,373080,71378.05,14.0,714438,HIGH
LN25048381,541809.26,1310455,3180.78,8.4,1.08403e+06,HIGH
LN12534251,2125.64,4447,407.12,10.2,4266.02,HIGH
LN96302719,6642.14,11589,637.26,12.4,13308.4,HIGH
LN99087300,512968.68,537811,138398.23,10.3,1.02595e+06,HIGH
LN24236448,198565.08,214600,16441.68,13.6,397150,HIGH
LN60837401,36763.82,82962,24651.05,10.3,73534.5,HIGH
LN31108460,8775.03,6761,1188.93,13.3,17562.3,HIGH
LN98321082,2471.49,4135,854.84,10.7,4952.19,HIGH
LN40576383,12079.89,23236,386.26,11.6,24224,HIGH
LN69276882,185069.33,281116,63727.89,14.1,370149,HIGH
LN73518958,233925.63,450030,43899.54,10.2,467865,HIGH
LN12067789,25651.19,21148,4689.92,12.7,51312.9,HIGH
LN33301150,1656.13,2805,343.01,10.2,3325.28,HIGH
LN57254496,215308.24,333286,93427.07,13.9,430627,HIGH
LN61691697,402431.76,179085,12210.9,12.6,804883,HIGH
LN36481933,80211.66,141573,14787.79,8.9,160436,HIGH
LN88389508,7229.76,13468,979.85,8.3,14475.9,HIGH
LN25674000,83785.2,128315,4430.46,12.3,167605,HIGH
LN24600963,6079.37,9378,1944.02,13.6,12169.6,HIGH
LN11879142,4240.67,4106,1051.3,10.6,8489.21,HIGH
LN39365389,218774.59,125636,138.72,9.9,438459,HIGH
LN50952997,571359.52,1047554,8136.16,12.2,1.14285e+06,HIGH
LN95500511,84791.92,181717,10268.46,9.3,169604,HIGH
LN58819324,720719.22,1103841,235600.46,10.1,1.44145e+06,HIGH
LN90799963,204246.38,298949,20077.81,10.5,408512,HIGH
LN74088443,7278.14,5784,51.32,12.9,14675.2,HIGH
LN50152302,144279.72,97173,10480.85,8.5,288572,HIGH
LN21678874,412809.22,193502,28585.88,12.0,825631,HIGH
LN75546926,19956.61,21013,5275.77,13.8,39922.9,HIGH
LN26187081,68979.02,47560,1066.89,8.3,138007,HIGH
LN55110952,32315.3,21400,3476.72,8.6,64640.5,HIGH
LN43533774,224072.66,309374,77202.25,8.0,448152,HIGH
LN71013613,320816.97,242433,17497.5,13.8,641653,HIGH
LN92916429,59489.47,53996,3113.22,11.7,119001,HIGH
LN19930944,171781.89,253792,44048.92,14.4,343575,HIGH
LN53339354,1194294.7,651614,125655.17,10.4,2.3886e+06,HIGH
LN60252062,34989.27,41310,9590.61,9.2,69986.9,HIGH
LN73673477,436837.29,224566,31156.65,11.0,873687,HIGH
LN45686918,55687.53,24917,5818.56,12.5,111385,HIGH
LN35801444,15574.9,21946,336.41,14.8,31220.6,HIGH
LN24272155,36925.28,31063,7128.82,12.5,73860.6,HIGH
LN63590800,136351.76,253713,25798.6,8.5,272716,HIGH
LN51746081,17684.63,19963,5721.2,13.0,35378,HIGH
LN51775256,2276.51,3770,742.92,8.7,4561.42,HIGH
LN94969148,8396.58,10611,2518.48,8.5,16800.5,HIGH
LN92569208,840077.66,1217130,323279.55,10.6,1.68016e+06,HIGH
LN83918073,23329.43,33895,7817.07,10.5,46667.6,HIGH
LN20847992,17916.21,10295,2171.93,9.8,35841.6,HIGH
LN39091313,691242.96,449458,14796.42,8.8,1.38252e+06,HIGH
LN83766700,36270.4,22394,644.43,9.2,72579.4,HIGH
LN25720663,618681.74,491811,123456.26,13.2,1.23737e+06,HIGH
LN69900883,325113.33,216473,28025.02,8.6,650238,HIGH
LN66228582,147468.45,241705,51236.1,13.3,294947,HIGH
LN87793135,389618.3,795927,213955.3,11.2,779245,HIGH
LN96345172,144390.45,157981,23884.3,9.9,288792,HIGH
LN25459197,241075.1,104589,12724.28,12.9,482165,HIGH
LN76323873,29479.2,54268,4742.98,12.1,58975.5,HIGH
LN12201023,236946.26,167912,33975.78,8.1,473901,HIGH
LN88770331,38145.25,73634,20487.04,8.2,76297.7,HIGH
LN71539284,303635.85,276300,73494.64,11.7,607280,HIGH
LN28929525,16952.96,8456,1566.44,11.2,33915,HIGH
LN10257808,187924.11,290895,13961.89,10.0,375874,HIGH
LN66584511,195071.73,458607,72229.54,10.0,390153,HIGH
LN54584433,239840.62,495873,113098.76,9.6,479689,HIGH
LN72094265,1190470.55,1658734,389598.08,13.3,2.38095e+06,HIGH
LN92849473,4093.14,4993,721.79,11.8,8198.82,HIGH
LN48598930,799233.11,361870,21561.89,12.4,1.59849e+06,HIGH
LN67923817,40884.16,63655,18200.45,13.8,81778.4,HIGH
LN34936504,212509.04,473981,81124.03,9.0,425028,HIGH
LN83041796,28261.16,24163,7118.46,12.3,56531.5,HIGH
LN31573345,7248.13,15616,1290.23,10.5,14513.4,HIGH
LN76454062,27503.22,19367,2674.38,8.1,55017.3,HIGH
LN20545587,18839.4,24338,4094.39,11.6,37689.7,HIGH
LN65408393,193236.6,422668,120748.09,10.6,386481,HIGH
LN44602605,237246.31,359071,5330.68,10.2,474564,HIGH
LN20717774,457302.65,214369,64138.13,12.0,914613,HIGH
LN45608808,31699.0,24218,6745.95,13.6,63408.4,HIGH
LN59422002,4946381.84,1908775,440091.2,14.4,9.89277e+06,HIGH
LN24799418,184473.43,226733,43169.73,12.2,368957,HIGH
LN88755693,170656.85,191089,2410.1,13.2,341398,HIGH
LN43882326,7305.13,5007,950.84,14.7,14622.6,HIGH
LN24960346,5043.34,13139,3373.96,8.9,10094.3,HIGH
LN54873156,54079.56,163664,20082.82,8.1,108170,HIGH
LN45696038,18029.91,17050,545.38,11.2,36094.9,HIGH
LN63750134,8926.87,14913,1186.0,12.9,17871,HIGH
LN14097808,3668.67,5174,354.64,12.6,7356.89,HIGH
LN94769485,38433.84,24873,2483.27,8.8,76880.4,HIGH
LN91117291,6190.98,9467,1689.47,13.7,12392.5,HIGH
LN39592730,290816.64,527556,43982.32,8.7,581648,HIGH
LN30043644,300805.42,476700,62646.67,9.8,601623,HIGH
LN75882682,160503.84,202209,30501.19,14.4,321020,HIGH
LN48745797,217743.97,281797,22349.37,14.1,435506,HIGH
LN76883283,2073482.42,1620814,49491.5,13.4,4.147e+06,HIGH
LN73241172,44183.72,129772,34096.44,8.3,88374,HIGH
LN36926493,60646.34,69637,7070.83,12.9,121308,HIGH
LN34755820,27552.87,12078,3482.29,12.7,55113.8,HIGH
LN40263602,666567.09,1081900,109658.09,9.6,1.33315e+06,HIGH
LN15684723,155408.34,136117,17217.63,12.1,310830,HIGH
LN53588027,117227.68,71031,21022.48,9.4,234462,HIGH
LN93225795,65854.29,75266,8425.85,9.5,131722,HIGH
LN58798521,83088.5,156924,38494.73,11.9,166186,HIGH
LN62305429,9911.61,24674,1972.26,9.4,19839.2,HIGH
LN33146588,76607.43,196520,44865.1,9.3,153223,HIGH
LN92701079,61636.66,65894,489.52,13.7,123413,HIGH
LN54953742,25669.53,38737,2641.54,14.1,51359.7,HIGH
LN35779471,76705.0,90631,16417.21,12.6,153422,HIGH
LN54626661,17780.97,42432,8225.88,9.8,35570.1,HIGH
LN20365531,368430.87,271707,76168.9,14.1,736871,HIGH
LN92546713,20819.3,11368,641.72,10.3,41660.9,HIGH
LN55550541,36924.92,23888,61.49,8.8,74240.9,HIGH
LN81488982,164433.88,87842,20931.89,10.6,328875,HIGH
LN16229291,69155.02,169177,8555.91,8.3,138334,HIGH
LN37260896,59190.35,28422,2822.56,11.7,118396,HIGH
LN34756546,9327.45,19878,2612.84,9.2,18666.2,HIGH
LN14536714,5508.06,9845,1978.22,12.1,11027,HIGH
LN86311166,9378.27,4423,36.86,11.7,18881.8,HIGH
LN57491483,1136583.42,1034728,269821.28,11.7,2.27318e+06,HIGH
LN12307110,43506.62,127768,34666.08,8.3,87019.8,HIGH
LN37335080,853690.53,389881,17723.71,12.3,1.70741e+06,HIGH
LN34228467,836554.02,1413770,377910.46,13.0,1.67312e+06,HIGH
LN26583470,487757.7,1074456,299527.57,9.1,975522,HIGH
LN64734139,16298.94,17585,3252.51,13.5,32608.2,HIGH
LN23329934,136684.48,282430,35552.16,9.6,273381,HIGH
LN63405159,1790524.42,948081,16661.08,10.7,3.58111e+06,HIGH
LN96697708,146640.73,224357,3666.77,10.1,293346,HIGH
LN30640981,73252.04,151008,15360.73,11.1,146519,HIGH
LN46575029,11883.95,19574,3576.09,13.1,23778,HIGH
LN79316100,2184522.11,1707628,190712.67,13.4,4.36906e+06,HIGH
LN43570743,17947.97,19235,3678.25,10.0,35904.2,HIGH
LN19353613,22719.05,9701,69.61,13.0,45583.9,HIGH
LN37655163,181158.3,220058,24426.39,9.0,362330,HIGH
LN21476600,43870.15,21233,4940.34,11.6,87750.1,HIGH
LN43987973,301848.0,485551,100159.53,13.5,603708,HIGH
LN88058050,138502.51,297109,14874.16,9.3,277029,HIGH
LN72109904,3818.12,10242,2835.44,8.6,7643.91,HIGH
LN31497842,456123.56,435838,83012.98,11.2,912257,HIGH
LN27722114,29778.47,24356,5519.94,12.8,59566.8,HIGH
LN68013958,24099.14,12534,326.36,10.8,48241.8,HIGH
LN71830125,168803.59,261271,4968.47,10.0,337664,HIGH
LN13953674,395812.46,984324,110390.08,8.2,791637,HIGH
LN58301297,24491.14,68678,166.85,8.6,49397.9,HIGH
LN76967693,367522.58,280044,22147.36,13.7,735063,HIGH
LN64893636,82741.24,243509,31205.49,8.3,165494,HIGH
LN20703839,40296.24,65887,9664.38,9.5,80603.6,HIGH
LN87749880,1065251.8,1855388,457254.83,12.7,2.13051e+06,HIGH
LN38711804,9195.52,12107,3360.59,8.2,18397.7,HIGH
LN42372253,215014.13,428450,28520.38,8.0,430047,HIGH
LN31746139,10475.27,17906,3515.1,12.7,20961.4,HIGH
LN24846210,554180.28,701808,63360.36,11.9,1.10838e+06,HIGH
LN55967896,153836.8,422498,101384.49,8.8,307681,HIGH
LN46267176,190157.12,216848,20403.63,13.0,380331,HIGH
LN28683519,323511.06,250634,20271.01,13.5,647041,HIGH
LN79525972,58290.21,24416,6659.13,13.3,116590,HIGH
LN66233275,34245.18,28790,4385.55,12.5,68502.8,HIGH
LN62942595,346834.03,1022606,5060.8,8.3,693874,HIGH
LN87585828,92400.54,110431,27124.82,15.0,184812,HIGH
LN18925961,205247.01,321420,44157.82,9.9,410506,HIGH
LN80874723,252462.41,293302,25793.32,12.8,504942,HIGH
LN20888201,2652610.37,1063192,101737.13,13.9,5.30524e+06,HIGH
LN88623128,968747.72,1864895,243747.27,10.2,1.93751e+06,HIGH
LN29733504,152495.62,283251,27154.0,10.5,305006,HIGH
LN89566786,15328.98,21491,4086.84,13.1,30667.8,HIGH
LN93701454,146759.9,209068,19620.97,14.8,293536,HIGH
LN73715078,224712.76,265945,29564.17,12.6,449439,HIGH
LN93667988,101331.73,99666,23811.65,14.7,202674,HIGH
LN54800134,197230.79,374984,93860.15,10.3,394469,HIGH
LN12709339,165984.03,173888,22533.19,10.3,331981,HIGH
LN75225616,207046.71,371920,1736.67,10.8,414312,HIGH
LN85090214,37920.98,14891,279.75,14.1,75900.3,HIGH
LN48495981,743935.19,1208779,45449.39,13.4,1.4879e+06,HIGH
LN71037056,10020.43,4779,504.74,11.6,20055.3,HIGH
LN83474504,16470.78,21683,4279.55,11.4,32950.8,HIGH
LN11604315,8841.83,16458,61.62,10.3,17954.2,HIGH
LN42954253,5773.65,12962,3666.1,8.7,11553.9,HIGH
LN13788860,337094.2,254737,4283.2,13.8,674254,HIGH
LN32603449,4029.07,7934,898.97,11.1,8072.38,HIGH
LN47055301,7464.29,20548,2038.76,8.6,14942.4,HIGH
LN65573993,135779.68,107813,3781.03,13.2,271593,HIGH
LN41136043,6871.11,5176,1421.92,13.5,13752.4,HIGH
LN37828552,2916.9,3987,578.64,12.8,5845.29,HIGH
LN23988330,395738.47,282685,3754.64,14.5,791559,HIGH
LN75681032,581049.22,566481,151362.44,11.0,1.16211e+06,HIGH
LN15264595,114089.56,139955,3180.74,14.7,228229,HIGH
LN90286766,1985754.18,1539214,186249.13,13.5,3.97152e+06,HIGH
LN88152597,8929.12,18994,4560.95,9.2,17866.8,HIGH
LN69536728,20817.32,54455,7335.27,9.1,41646,HIGH
LN26050340,18562.99,7848,952.25,13.1,37138.8,HIGH
LN46522435,614306.13,349258,74806.26,10.0,1.22862e+06,HIGH
LN20283271,3947569.08,1991771,66974.26,11.2,7.89517e+06,HIGH
LN93731499,129460.51,208775,3012.37,11.8,258995,HIGH
LN79841079,148212.35,287177,11138.06,8.2,296454,HIGH
LN20835658,14387.22,23319,530.22,9.5,28822.7,HIGH
LN27523964,5529.67,16211,647.4,8.1,11087.1,HIGH
LN71729085,15723.6,17016,3783.13,9.9,31455.4,HIGH
LN86447351,209139.09,251047,10550.86,9.1,418306,HIGH
LN71793671,23798.36,30160,3837.55,8.6,47608.2,HIGH
LN72086565,75911.43,93159,7062.82,12.2,151841,HIGH
LN61989318,320006.77,349044,6652.97,13.5,640071,HIGH
LN28664902,3488252.21,1539923,159542.54,12.7,6.97652e+06,HIGH
LN80201786,14171.08,9833,2234.12,14.7,28353.8,HIGH
LN26059803,266209.26,251795,67491.82,11.3,532427,HIGH
LN90325457,1138284.2,1367407,284238.71,9.1,2.27658e+06,HIGH
LN80486632,182153.07,188527,40308.75,14.1,364318,HIGH
LN75872754,9167.46,13497,3139.63,12.5,18344.5,HIGH
LN50419085,1997.42,3451,943.11,8.3,4001.81,HIGH
